type,diameter,length,thread_type
M5x20 Fully,5,20,Fully
M5x25 Fully,5,25,Fully
M5x30 Fully,5,30,Fully
M5x40 Fully,5,40,Fully
M5x50 Fully,5,50,Fully
M5x60 Fully,5,60,Fully
M6x20 Fully,6,20,Fully
M6x25 Fully,6,25,Fully
M6x30 Fully,6,30,Fully
M6x40 Fully,6,40,Fully
M6x50 Fully,6,50,Fully
M6x60 Fully,6,60,Fully
M8x20 Fully,8,20,Fully
M8x25 Fully,8,25,Fully
M8x30 Fully,8,30,Fully
M8x40 Fully,8,40,Fully
M8x50 Fully,8,50,Fully
M8x60 Fully,8,60,Fully
M10x20 Fully,10,20,Fully
M10x25 Fully,10,25,Fully
M10x30 Fully,10,30,Fully
M10x40 Fully,10,40,Fully
M10x50 Fully,10,50,Fully
M10x60 Fully,10,60,Fully
M12x20 Fully,12,20,Fully
M12x25 Fully,12,25,Fully
M12x30 Fully,12,30,Fully
M12x40 Fully,12,40,Fully
M12x50 Fully,12,50,Fully
M12x60 Fully,12,60,Fully
M6x30 Partial,6,30,Partial
M8x40 Partial,8,40,Partial
M10x50 Partial,10,50,Partial
M12x60 Partial,12,60,Partial
